Respiratory Seq ID	ABCTL CovSeq Code	Date	Location Code	QC	run	notes
I68641	AWW166(2)	220503	ASU15	1312555	200	
I68642	AWW167(2)	220503	ASU16	4333622	200	
I71468	AWW168(2)	220509	ASU1	3967382	209	
I71469	AWW169(2)	220509	ASU5	11978089	209	
I71470	AWW170(2)	220509	ASU6	15869134	209	
I71471	AWW171(2)	220509	ASU2	10078199	209	
I71472	AWW172(2)	220509	ASU4	5615069	209	
I71473	AWW173(2)	220509	ASU3	7603218	209	
I71474	AWW174(2)	220509	ASU7	5288237	209	
I71475	AWW175(2)	220509	ASU8	30740282	209	
I71476	AWW176(2)	220509	ASU9	2338304	209	
I71477	AWW177(2)	220509	ASU10	7083453	209	
I71478	AWW178(2)	220509	ASU11	9850901	209	
I71479	AWW179(2)	220509	ASU12	2994482	209	
I71480	AWW180(2)	220509	ASU15	4396744	209	
I71481	AWW181(2)	220509	ASU16	2653370	209	
I74116	AWW183(2)	220516	ASU5	52706	218	
I74117	AWW184(2)	220516	ASU2	4020169	218	
I74121	AWW188(2)	220516	ASU8	1374200	218	
I74122	AWW189(2)	220516	ASU9	2113761	218	
I74124	AWW190(2)	220516	ASU10	2418130	218	
I74125	AWW191(2)	220516	ASU15	7668507	218	
I74126	AWW192(2)	220516	ASU16	4883888	218	
I77487	AWW193(2)	220523	ASU1	1430380	228	
I77488	AWW194(2)	220523	ASU2	4132068	228	
I77489	AWW195(2)	220523	ASU4	3269939	228	
I77490	AWW196(2)	220523	ASU3	4700179	228	
I77491	AWW197(2)	220523	ASU7	3554139	228	
I77492	AWW198(2)	220523	ASU8	3771637	228	
I77493	AWW199(2)	220523	ASU9	4828208	228	
I77494	AWW200(2)	220523	ASU10	9636838	228	
I77496	AWW201(2)	220523	ASU11	3029908	228	
I77497	AWW202(2)	220523	ASU12	2442503	228	
I77499	AWW203(2)	220523	ASU15	2063869	228	
I77500	AWW204(2)	220523	ASU16	10950322	228	
I80874	AWW205(2)	220531	ASU1	4732822	241	
I80875	AWW206(2)	220531	ASU5	11253788	241	
I80876	AWW207(2)	220531	ASU6	2946364	241	
I80877	AWW208(2)	220531	ASU2	3183723	241	
I80878	AWW209(2)	220531	ASU4	4776569	241	
I80879	AWW210(2)	220531	ASU7	4165717	241	
I80880	AWW211(2)	220531	ASU9	4338460	241	
I80881	AWW212(2)	220531	ASU10	4152586	241	
I80882	AWW213(2)	220531	ASU11	10038249	241	
I80883	AWW214(2)	220531	ASU12	4950636	241	
I80884	AWW215(2)	220531	ASU15	2126819	241	
I80885	AWW216(2)	220531	ASU16	4790204	241	
I80886	AWW217(2)	220606	ASU1	2624912	241	
I80887	AWW218(2)	220606	ASU5	4312531	241	
I80888	AWW219(2)	220606	ASU6	1198043	241	
I80889	AWW220(2)	220606	ASU2	3943126	241	
I80890	AWW221(2)	220606	ASU4	5774314	241	
I80891	AWW222(2)	220606	ASU7	1206444	241	
I80892	AWW223(2)	220606	ASU9	3795988	241	
I80893	AWW224(2)	220606	ASU10	6577987	241	
I80894	AWW225(2)	220606	ASU11	2363722	241	
I80895	AWW226(2)	220606	ASU12	6994599	241	
I80896	AWW227(2)	220606	ASU15	9796378	241	
I80897	AWW228(2)	220606	ASU16	4386205	241	
I82743	AWW229(2)	220613	ASU1	4767044	249	
I82744	AWW237(2)	220613	ASU9	3686087	249	
I82745	AWW230(2)	220613	ASU5	20664065	249	
I82746	AWW238(2)	220613	ASU10	1487904	249	
I82747	AWW231(2)	220613	ASU6	11190123	249	
I82748	AWW239(2)	220613	ASU11	6923881	249	
I82749	AWW232(2)	220613	ASU2	11125554	249	
I82750	AWW240(2)	220613	ASU12	5171322	249	
I82751	AWW233(2)	220613	ASU4	13431397	249	
I82752	AWW241(2)	220613	ASU15	4876744	249	
I82753	AWW234(2)	220613	ASU3	11061329	249	
I82754	AWW242(2)	220613	ASU16	9043098	249	
I82755	AWW235(2)	220613	ASU7	4772768	249	
I82756	AWW236(2)	220613	ASU8	608017	249	
I83782	AWW243(2)	220620	ASU1	6999750	254	
I83783	AWW244(2)	220620	ASU5	21316470	254	
I83784	AWW245(2)	220620	ASU6	1496703	254	
I83785	AWW246(2)	220620	ASU2	1004271	254	
I83786	AWW247(2)	220620	ASU4	1969118	254	
I83787	AWW248(2)	220620	ASU3	8104020	254	
I83788	AWW249(2)	220620	ASU7	19665585	254	
I83789	AWW250(2)	220620	ASU8	25652894	254	
I83790	AWW251(2)	220620	ASU9	12208257	254	
I83791	AWW252(2)	220620	ASU10	19079314	254	
I83792	AWW253(2)	220620	ASU12	6335988	254	
I83793	AWW254(2)	220620	ASU15	9482147	254	
I83794	AWW255(2)	220620	ASU16	16224316	254	
I84398	AWW256(2)	220627	ASU1	8356355	258	
I84399	AWW257(2)	220627	ASU5	2417997	258	
I84400	AWW258(2)	220627	ASU6	7211931	258	
I84401	AWW259(2)	220627	ASU2	6064394	258	
I84402	AWW260(2)	220627	ASU4	2358972	258	
I84403	AWW261(2)	220627	ASU7	5003944	258	
I84404	AWW262(2)	220627	ASU8	7506998	258	
I84405	AWW263(2)	220627	ASU9	9676218	258	
I84406	AWW264(2)	220627	ASU10	5767875	258	
I84407	AWW265(2)	220627	ASU11	6469868	258	
I84408	AWW266(2)	220627	ASU12	3258985	258	
I84409	AWW267(2)	220627	ASU15	13259145	258	
I84410	AWW268(2)	220627	ASU16	5355220	258	
I85253	AWW269(2)	220705	ASU1	26906	262	
I85252	AWW270(2)	220705	ASU5	4600090	262	
I85261	AWW271(2)	220705	ASU2	2650927	262	
I85262	AWW272(2)	220705	ASU4	1454423	262	
I85260	AWW273(2)	220705	ASU7	3117134	262	
I85259	AWW274(2)	220705	ASU8	811353	262	
I85258	AWW275(2)	220705	ASU9	3045735	262	
I85257	AWW276(2)	220705	ASU10	2772760	262	
I85256	AWW277(2)	220705	ASU11	835745	262	
I85254	AWW278(2)	220705	ASU12	5446015	262	
I85255	AWW279(2)	220705	ASU15	3625903	262	
I85264	AWW280(2)	220705	ASU16	1505713	262	
I88547	AWW281(2)	220711	ASU1	7071348	278	
I88548	AWW282(2)	220711	ASU5	5578928	278	
I88549	AWW283(2)	220711	ASU6	3812890	278	
I88550	AWW284(2)	220711	ASU2	3019733	278	
I88551	AWW285(2)	220711	ASU4	5749205	278	
I88552	AWW286(2)	220711	ASU7	7243281	278	
I88553	AWW287(2)	220711	ASU8	3681356	278	
I88554	AWW288(2)	220711	ASU9	4015586	278	
I88555	AWW289(2)	220711	ASU10	7756436	278	
I88556	AWW290(2)	220711	ASU11	6199866	278	
I88557	AWW291(2)	220711	ASU12	3628007	278	
I88558	AWW292(2)	220711	ASU15	3457910	278	
I88559	AWW293(2)	220711	ASU16	3628324	278	
I88560	AWW294(2)	220718	ASU1	3796822	278	
I88561	AWW295(2)	220718	ASU5	1172483	278	
I88562	AWW296(2)	220718	ASU6	367724	278	
I88563	AWW297(2)	220718	ASU4	51191	278	
I88564	AWW298(2)	220718	ASU3	1312528	278	
I88565	AWW299(2)	220718	ASU7	997289	278	
I88566	AWW300(2)	220718	ASU8	183892	278	
I88567	AWW301(2)	220718	ASU9	9123	278	
I88568	AWW302(2)	220718	ASU10	2726612	278	
I88569	AWW303(2)	220718	ASU11	1015591	278	
I88570	AWW304(2)	220718	ASU12	2072469	278	
I88571	AWW305(2)	220718	ASU15	535812	278	
I88572	AWW306(2)	220718	ASU16	8743543	278	
I88573	AWW307(2)	220725	ASU1	44992	278	
I88574	AWW308(2)	220725	ASU5	1416306	278	
I88575	AWW309(2)	220725	ASU6	8095759	278	
I88576	AWW310(2)	220725	ASU2	247355	278	
I88577	AWW311(2)	220725	ASU4	4484072	278	
I88578	AWW312(2)	220725	ASU3	1238181	278	
I88579	AWW313(2)	220725	ASU7	2169864	278	
I88580	AWW314(2)	220725	ASU8	975790	278	
I88581	AWW315(2)	220725	ASU9	87998	278	
I88582	AWW316(2)	220725	ASU10	4622601	278	
I88583	AWW317(2)	220725	ASU11	1497414	278	
I88584	AWW318(2)	220725	ASU12	10473056	278	
I88585	AWW319(2)	220725	ASU15	2063370	278	
I88586	AWW320(2)	220725	ASU16	3277354	278	
I89117	AWW321(2)	220801	ASU1	242475	282	
I89118	AWW322(2)	220801	ASU5	50870	282	
I89119	AWW323(2)	220801	ASU2	286333	282	
I89120	AWW324(2)	220801	ASU4	380281	282	
I89121	AWW325(2)	220801	ASU3	343257	282	
I89122	AWW326(2)	220801	ASU7	380056	282	
I89123	AWW327(2)	220801	ASU8	55326	282	
I89124	AWW328(2)	220801	ASU9	162598	282	
I89125	AWW329(2)	220801	ASU10	465201	282	
I89126	AWW330(2)	220801	ASU11	96763	282	
I89127	AWW331(2)	220801	ASU12	388724	282	
I89128	AWW332(2)	220801	ASU15	297110	282	
I89129	AWW333(2)	220801	ASU16	695512	282	
I89130	AWW334(2)	220808	ASU1	194754	282	
I89131	AWW335(2)	220808	ASU5	557626	282	
I89132	AWW336(2)	220808	ASU6	1200448	282	
I89133	AWW337(2)	220808	ASU2	1012222	282	
I89134	AWW338(2)	220808	ASU4	115336	282	
I89135	AWW339(2)	220808	ASU3	343410	282	
I89136	AWW340(2)	220808	ASU7	233701	282	
I89137	AWW341(2)	220808	ASU8	365966	282	
I89138	AWW342(2)	220808	ASU9	45259	282	
I89139	AWW343(2)	220808	ASU10	844268	282	
I89140	AWW344(2)	220808	ASU11	701505	282	
I89141	AWW345(2)	220808	ASU12	512003	282	
I89142	AWW346(2)	220808	ASU15	268369	282	
I89143	AWW347(2)	220808	ASU16	49554	282	
I89144	AWMT1(2)	220809	ASU1	977803	282	
I89145	AWMT2(2)	220809	ASU5	70637	282	
I89146	AWMT3(2)	220809	ASU6	1198284	282	
