COVIDSeq_Seq_ID,External_ID,Date,Site,BQ.1.1,XBB.1.5,BQ.1,XBB,BA.5,BN.1,BF.7,BA.2.75,BA.5.2.6,BF.11,BA.4.6,BA.2,BA.2.75.2,BA.4,BA.1.1,B.1.1.529,BA.2.12.1,Delta,Other_recombinants,Other,Filtered_reads
I98924,AWMT441,230220,ASUT03,0,0.99918855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081145
I98920,AWMT437,230220,ASUT05,0,0,0.00310881,0,0,0,0,0,0,0,0,0,0,0.99337918,0,0,0,0,0,0,0.00351201
I99099,AWMT446,230220,ASUT11,0,0.99879921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120079
I98919,AWMT436,230220,ASUT01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99901036,0,0.00098964
I98897,AWMT414,230206,ASUT11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I99100,AWMT447,230220,ASUT12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I99104,AWMT451,230220,ASUT17,0,0.9995056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004944
I98893,AWMT410,230206,ASUT07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I99103,AWMT450,230220,ASUT16,0.15626506,0.02255372,0.03060862,0.04188548,0.30159923,0.0322196,0.03705254,0.10310272,0.01772078,0.0080549,0,0.18543743,0.01127686,0.00161098,0,0,0,0,0.04188548,0.00644392,0.00228268
I98894,AWMT411,230206,ASUT08,0,0,0,0,0.395161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604839
I98890,AWMT407,230206,ASUT06,0,0.99616124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00383876
I99110,AWMD2,230216,ASUDT01,0,0.45696938,0,0.39168804,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.00134258
I99107,AWMW3,230209,ASUW03,0,0,0,0.99946584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053416
I98887,AWMT404,230130,ASUT17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85640856,0,0.14273476,0,0.00085668
I98927,AWMT444,230220,ASUT09,0,0.99366299,0,0.006337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-08
I98909,AWMT426,230213,ASUT07,0,0.61069022,0,0,0,0,0,0.32295571,0,0,0,0.0564721,0.00125156,0.00722022,0,0,0,0,0,0,0.00141019
I98923,AWMT440,230220,ASUT04,0,0.99159699,0,0.008403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E-08
I99414,AWMT466,230227,ASUT16,0,0.99899072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00100928
I99403,AWMT455,230227,ASUT02,0,0.99919705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00080295
I99407,AWMT459,230227,ASUT08,0,0.72012591,0,0.27708122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279287
I99410,AWMT462,230227,ASUT11,0,0.99927881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072119
I99429,AWMP14,230213,ASUP01,0,0.99723064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276936
I99400,AWMT452,230227,ASUT01,0,0.9992599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007401
I99417,AWMP2,230130,ASUP02,0,0.99643291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00356709
I99439,AWMP24,230220,ASUP04,0,0,0,0,0,0,0,0.99813528,0,0,0,0,0,0,0,0,0,0,0,0,0.00186472
I99413,AWMT465,230227,ASUT14,0,0.99767712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00232288
I99404,AWMT456,230227,ASUT04,0.76380668,0,0.17937683,0.04989931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691718
I99443,AWMP28,230227,ASUP01,0,0.9971418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028582
I99419,AWMP4,230130,ASUP04,0,0.99689864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00310136
I99437,AWMP22,230220,ASUP02,0,0.9986024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013976
I99420,AWMP5,230130,ASUP05,0,0.03157677,0,0,0.96689049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153274
I99424,AWMP9,230206,ASUP03,0,0.99943804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056196
I99433,AWMP18,230213,ASUP05,0,0.99995043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96E-05
I99423,AWMP8,230206,ASUP02,0,0.9981969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018031
I99434,AWMP19,230213,ASUP06,0,0.9993912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006088
I99409,AWMT461,230227,ASUT10,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93707025,0,0.00042975
I99430,AWMP15,230213,ASUP02,0,0.99891991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108009
I99427,AWMP12,230206,ASUP06,0,0.99779085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00220915
I99444,AWMP29,230227,ASUP02,0,0.99985144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014856
I99440,AWMP25,230220,ASUP05,0,0.99825396,0,0,0,0,0,0,0,0,0,0.00135501,0,0,0,0,0,0,0,0,0.00039103
I99426,AWMP11,230206,ASUP05,0,0.79984753,0,0.19922354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00092893
